[2025-03-02 22:44:51] Application started.
[2025-03-02 23:38:54] Application started.
[2025-03-02 23:38:56] Pointer1 address: 0x0000000059CEE6A0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x0000000059CDD8A0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000002250EF20
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x0000000059CDDD00
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000002250F200
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000002250F4E0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000002250F7C0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x0000000059CDC0E0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x000000002250FAA0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x0000000059CDBBE0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer1 address: 0x0000000059CDBAA0
[2025-03-02 23:38:56] Pointer2 address: 90
[2025-03-02 23:38:56] Pointer2 address: C
[2025-03-02 23:38:56] Pointer2 address: 80
[2025-03-02 23:38:56] Pointer2 address: 4
[2025-03-02 23:38:56] Pointer2 address: 88
